id,kode_pohon,nama_latin,nama_lokal,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
65,MD0043,Nephelium lappaceum,Rambutan,Pohon Muda,icon/young_tree.svg,Least Concern,27,15,Hutan Desa Muara Dua,gambut,-,1.0405175,101.9890014,27.57625378,0.05,-,-,-,Margono,2021-09-21 11:47:00.000+07:00," Rp50,000 ",1002.34,-,Chave (2005),media/MD65.jpg,media/1632197858049.jpg,media/1632197888060.jpg,media/1632197908528.jpg,adopsipohonriau/65
66,MD0044,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,30,17,Hutan Desa Muara Dua,gambut,-,1.0404137,101.9889978,5.910461815,0.05,-,-,-,Margono,2021-09-21 11:53:00.000+07:00," Rp50,000 ",1138.96,-,Chave (2005),media/MD66.jpg,media/1632198215328.jpg,media/1632198250744.jpg,media/1632198282463.jpg,adopsipohonriau/66
67,MD0045,Leguminosae sp.,Kacang Kacang,Pohon Muda,icon/young_tree.svg,-,17,12,Hutan Desa Muara Dua,gambut,-,1.0403952,101.9890593,5.482780992,0.05,-,-,-,Margono,2021-09-21 11:59:00.000+07:00," Rp50,000 ",335.04,-,Chave (2005),media/MD67.jpg,media/1632198518903.jpg,media/1632198553311.jpg,media/1632198570983.jpg,adopsipohonriau/67
68,MD0046,Nephelium lappaceum,Rambutan,Pohon Muda,icon/young_tree.svg,Least Concern,13,15,Hutan Desa Muara Dua,gambut,-,1.0406087,101.9891715,48.20044999,0.05,-,-,-,Margono,2021-09-21 12:05:00.000+07:00," Rp50,000 ",240.66,-,Chave (2005),media/MD68.jpg,media/1632212208755.jpg,media/1632212228490.jpg,media/1632212255582.jpg,adopsipohonriau/68
69,MD0048,Eugenia sp.,Jambu Jambu,Pohon Muda,icon/young_tree.svg,-,17,25,Hutan Desa Muara Dua,gambut,-,1.0403677,101.989063,37.07779512,0.05,-,-,-,Margono,2021-09-21 12:17:00.000+07:00," Rp50,000 ",654.17,-,Chave (2005),media/MD69.jpg,media/1632198814858.jpg,media/1632198894362.jpg,media/1632198915401.jpg,adopsipohonriau/69
70,MD0049,Shorea sp.,Meranti Batu,Pohon Muda,icon/young_tree.svg,-,11,10,Hutan Desa Muara Dua,gambut,-,1.0403764,101.9891729,15.9967401,0.05,-,-,-,Ferdinan,2021-09-21 13:29:00.000+07:00," Rp50,000 ",96.72,-,Chave (2005),media/MD70.jpg,media/1632199199789.jpg,media/1632199238312.jpg,media/1632199267390.jpg,adopsipohonriau/70
71,MD0077,Koompassia malaccensis ,Kempas,Pohon Muda,icon/young_tree.svg,-,27,20,Hutan Desa Muara Dua,gambut,-,1.0372116,101.990314,-0.600510847,0.05,-,-,-,Margono,2021-09-21 15:23:00.000+07:00," Rp50,000 ",1555.06,-,Chave (2005),media/MD71.jpg,media/1632199515845.jpg,media/1632199559420.jpg,media/1632199615363.jpg,adopsipohonriau/71
72,MD0050,Shorea sp.,Meranti Batu,Pohon Muda,icon/young_tree.svg,-,14,15,Hutan Desa Muara Dua,gambut,-,1.0403792,101.9891224,22.46978916,0.05,-,-,-,Ferdinan,2021-09-21 13:38:00.000+07:00," Rp50,000 ",230.04,-,Chave (2005),media/MD72.jpg,media/1632199915084.jpg,media/1632199953980.jpg,media/1632199979551.jpg,adopsipohonriau/72
73,MD0056,Leguminosae sp.,Kacang Kacang,Pohon Muda,icon/young_tree.svg,-,22,20,Hutan Desa Muara Dua,gambut,-,1.0404421,101.9892498,41.2605198,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 13:42:00.000+07:00," Rp50,000 ",643.26,-,Chave (2005),media/MD73.jpg,media/1632200262618.jpg,media/1632200302532.jpg,media/1632200359545.jpg,adopsipohonriau/73
74,MD0084,Palaquium spp.,Balam,Pohon Muda,icon/young_tree.svg,-,12,15,Hutan Desa Muara Dua,gambut,-,1.0372169,101.9901514,26.09575025,0.05,-,-,-,Indra Bakti Hamid,2021-09-21 15:54:00.000+07:00," Rp50,000 ",168.53,-,Chave (2005),media/MD74.jpg,media/1632200600893.jpg,media/1632200664914.jpg,media/1632200693090.jpg,adopsipohonriau/74
